
Варіант 1:
Час (с)	Pа (Вт)
0.00	0.000000000000
0.50	0.000000172579
1.00	0.000000749935
1.50	0.000001813914
2.00	0.000003432705
2.50	0.000005657236
3.00	0.000006046864
3.50	0.000006444386
4.00	0.000006849389
4.50	0.000007261473
5.00	0.000007680251
5.50	0.000021333154
6.00	0.000020489956
6.50	0.000019425188
7.00	0.000018214745
7.50	0.000016920908
8.00	0.000014832799
8.50	0.000012912265
9.00	0.000011172415
9.50	0.000009615665
10.00	0.000008237038

Варіант 2:
Час (с)	Pа (Вт)
0.00	0.000000000000
0.50	0.000003939650
1.00	0.000017938331
1.50	0.000045122207
2.00	0.000088212592
2.50	0.000149295238
3.00	0.000163121722
3.50	0.000177286635
4.00	0.000191761781
4.50	0.000206520294
5.00	0.000221536586
5.50	0.000565771596
6.00	0.000525392414
6.50	0.000481724167
7.00	0.000436996829
7.50	0.000392853062
8.00	0.000330038670
8.50	0.000275425245
9.00	0.000228522935
9.50	0.000188652477
10.00	0.000155049746

Варіант 3:
Час (с)	Pа (Вт)
0.00	0.000000000000
0.50	0.000010027715
1.00	0.000047897291
1.50	0.000125238681
2.00	0.000252544178
2.50	0.000437958643
3.00	0.000486779904
3.50	0.000536880327
4.00	0.000588107153
4.50	0.000640317310
5.00	0.000693376876
5.50	0.001631955054
6.00	0.001466029649
6.50	0.001300765189
7.00	0.001142264569
7.50	0.000994373633
8.00	0.000797150836
8.50	0.000634996922
9.00	0.000503062696
9.50	0.000396650222
10.00	0.000311453804
